male,eth,age,income,state,service_failure,satisfaction
0,1,1,1,1,NA,0.5
0,1,1,1,2,NA,0.47502081252106
0,1,1,1,3,NA,0.5
0,1,1,1,4,NA,0.45016600268752216
0,1,1,1,5,NA,0.45016600268752216
0,1,1,1,6,NA,0.549833997312478
0,1,1,1,7,NA,0.23147521650098238
0,1,1,1,8,NA,0.24973989440488234
0,1,1,1,9,NA,0.289050497374996
0,1,1,1,10,NA,0.35434369377420455
0,1,1,1,11,NA,0.425557483188341
0,1,1,1,12,NA,0.574442516811659
0,1,1,1,13,NA,0.24973989440488234
0,1,1,1,14,NA,0.47502081252106
0,1,1,1,15,NA,0.7502601055951177
0,1,1,1,16,NA,0.6681877721681662
0,1,1,1,17,NA,0.35434369377420455
0,1,1,1,18,NA,0.8581489350995123
0,1,1,1,19,NA,0.18242552380635635
0,1,1,1,20,NA,0.7858349830425586
0,1,1,1,21,NA,0.289050497374996
0,1,1,1,22,NA,0.2141650169574414
0,1,1,1,23,NA,0.574442516811659
0,1,1,1,24,NA,0.7109495026250039
0,1,1,1,25,NA,0.401312339887548
0,1,1,1,26,NA,0.574442516811659
0,1,1,1,27,NA,0.5
0,1,1,1,28,NA,0.6224593312018546
0,1,1,1,29,NA,0.3318122278318339
0,1,1,1,30,NA,0.5
0,1,1,1,31,NA,0.31002551887238755
0,1,1,1,32,NA,0.5
0,1,1,1,33,NA,0.2141650169574414
0,1,1,1,34,NA,0.425557483188341
0,1,1,1,35,NA,0.6224593312018546
0,1,1,1,36,NA,0.6224593312018546
0,1,1,1,37,NA,0.7109495026250039
0,1,1,1,38,NA,0.6681877721681662
0,1,1,1,39,NA,0.6456563062257954
0,1,1,1,40,NA,0.574442516811659
0,1,1,1,41,NA,0.6224593312018546
0,1,1,1,42,NA,0.289050497374996
0,1,1,1,43,NA,0.31002551887238755
0,1,1,1,44,NA,0.47502081252106
0,1,1,1,45,NA,0.549833997312478
0,1,1,1,46,NA,0.45016600268752216
0,1,1,1,47,NA,0.35434369377420455
0,1,1,1,48,NA,0.45016600268752216
0,1,1,1,49,NA,0.7109495026250039
0,1,1,1,50,NA,0.598687660112452
0,1,1,2,1,NA,0.45016600268752216
0,1,1,2,2,NA,0.425557483188341
0,1,1,2,3,NA,0.45016600268752216
0,1,1,2,4,NA,0.401312339887548
0,1,1,2,5,NA,0.401312339887548
0,1,1,2,6,NA,0.5
0,1,1,2,7,NA,0.19781611144141825
0,1,1,2,8,NA,0.2141650169574414
0,1,1,2,9,NA,0.24973989440488234
0,1,1,2,10,NA,0.31002551887238755
0,1,1,2,11,NA,0.3775406687981454
0,1,1,2,12,NA,0.5249791874789399
0,1,1,2,13,NA,0.2141650169574414
0,1,1,2,14,NA,0.425557483188341
0,1,1,2,15,NA,0.710949502625004
0,1,1,2,16,NA,0.6224593312018546
0,1,1,2,17,NA,0.31002551887238755
0,1,1,2,18,NA,0.8320183851339245
0,1,1,2,19,NA,0.1544652650835347
0,1,1,2,20,NA,0.7502601055951177
0,1,1,2,21,NA,0.24973989440488234
0,1,1,2,22,NA,0.18242552380635635
0,1,1,2,23,NA,0.5249791874789399
0,1,1,2,24,NA,0.6681877721681662
0,1,1,2,25,NA,0.35434369377420455
0,1,1,2,26,NA,0.5249791874789399
0,1,1,2,27,NA,0.45016600268752216
0,1,1,2,28,NA,0.574442516811659
0,1,1,2,29,NA,0.28905049737499605
0,1,1,2,30,NA,0.45016600268752216
0,1,1,2,31,NA,0.2689414213699951
0,1,1,2,32,NA,0.45016600268752216
0,1,1,2,33,NA,0.18242552380635635
0,1,1,2,34,NA,0.3775406687981454
0,1,1,2,35,NA,0.574442516811659
0,1,1,2,36,NA,0.574442516811659
0,1,1,2,37,NA,0.6681877721681662
0,1,1,2,38,NA,0.6224593312018546
0,1,1,2,39,NA,0.598687660112452
0,1,1,2,40,NA,0.5249791874789399
0,1,1,2,41,NA,0.574442516811659
0,1,1,2,42,NA,0.24973989440488234
0,1,1,2,43,NA,0.2689414213699951
0,1,1,2,44,NA,0.425557483188341
0,1,1,2,45,NA,0.5
0,1,1,2,46,NA,0.401312339887548
0,1,1,2,47,NA,0.31002551887238755
0,1,1,2,48,NA,0.401312339887548
0,1,1,2,49,NA,0.6681877721681662
0,1,1,2,50,NA,0.549833997312478
0,1,1,3,1,NA,0.6456563062257954
0,1,1,3,2,NA,0.6224593312018546
0,1,1,3,3,NA,0.6456563062257954
0,1,1,3,4,NA,0.598687660112452
0,1,1,3,5,NA,0.598687660112452
0,1,1,3,6,NA,0.6899744811276125
0,1,1,3,7,NA,0.35434369377420455
0,1,1,3,8,NA,0.3775406687981454
0,1,1,3,9,NA,0.425557483188341
0,1,1,3,10,NA,0.5
